stream_label,model_class,model,operational_n,operational_pooled_mape,operational_horizon_mean_mape,operational_bias_pct,paper_n,paper_horizon_mean_mape,paper_pooled_mape,paper_bias_pct,operational_annual_mape,paper_annual_mape,operational_h09_12_mape,paper_h09_12_mape,op_gain_vs_schiff_spec_pp,paper_gain_vs_schiff_spec_pp,decision_score,governance_score
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top8_median,390,8.168904911404175,8.305640309892537,1.834299651034685,126.0,6.909831617670251,5.974762475206395,-0.5671632202393171,6.04136376725397,,9.763671422563124,10.96088794944355,0.2440341666937904,1.6115654723366193,16.772507435991386,0.0555285540704738
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_static_convex_top12_cap65,390,8.213088408531721,8.348263245585288,1.7837430927497129,126.0,6.898973751357089,6.007393091406454,-0.8556091200241267,6.025083804198796,,9.791086590575834,10.772480705206947,0.19985066956624387,1.6224233386497806,16.796707420213483,0.0558323207776427
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top5_median,390,8.138771825723584,8.27524846502781,1.864622359076216,126.0,6.909519054753172,5.950218753538539,-0.403922874819259,6.0449954438217945,,9.73490192592691,11.048184932699328,0.2741672523743812,1.6118780352536977,16.746001977339827,0.0574726609963548
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top3_median,390,8.201411335962574,8.338409449375877,1.799428984330114,126.0,6.914231077644996,6.004899636498905,-0.7406657797140328,6.044536062857464,,9.794674899038842,10.868682191299328,0.2115277421353916,1.6071660123618736,16.806719327754948,0.0580194410692588
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.001_l10.15_w40,390,8.201020361289874,8.33797726313001,1.799845840773272,126.0,6.915461428403191,6.005885983632508,-0.741182534066851,6.044763131252679,3.544474833202333,9.795183086920265,10.546779813917086,0.21191871680809093,1.605935661603679,16.807657156583563,0.058505467800729
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Ridge_a0.1_w40,390,8.145079156705167,8.274337624329341,1.6505547540845993,126.0,6.8185637844644456,5.934346368157332,-0.7936558237624255,6.146223296026845,3.790441421383053,9.642407575502292,10.32003343297321,0.26785992139279813,1.7028333055424243,16.665254240584787,0.0597205346294046
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Ridge_a0.01_w40,390,8.092339985851677,8.227749678293323,1.8898078292365248,126.0,6.817770787874887,5.855542501903436,-0.2665455645068153,6.107904235208604,3.4637614636496434,9.672582203188645,10.640545261343476,0.32059909224628846,1.7036263021319824,16.62606761545237,0.0645808019441069
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_OLS_w40,390,8.086073055402617,8.222175364747951,1.917349708135312,126.0,6.818175551387102,5.846656039878763,-0.2042639997361738,6.103823830049577,3.425188552624322,9.675355424973596,10.678396020215772,0.3268660226953486,1.7032215386197675,16.621939535115644,0.0651883353584447
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Ridge_a0.001_w40,390,8.086710131224491,8.222743422272051,1.9145867697196988,126.0,6.818147177957573,5.847561171380251,-0.2105287767159624,6.1042293344713165,3.429067938680934,9.67509228927904,10.674602366896169,0.32622894687347426,1.703249912049297,16.62237331977186,0.0651883353584447
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.001_l10.3_w40,390,8.297040720591419,8.43756530359322,1.79280295258011,126.0,7.010320489682207,6.130876753050396,-1.039598551426432,5.986277245254246,3.532786422212509,9.93234346104859,10.551628409477562,0.11589835750654665,1.511076600324663,16.983210816845197,0.0742405832320777
