FY,period,source_path,scenario,scenario_name,scenario_role,fed_path,lambda_mode,ped_vktpc_model,ped_vkt_per_capita,scenario_population,scenario_population_million,population_million,population_source,population_source_status,population_fallback_flag,population_warning,raw_light_petrol_vkt,raw_light_petrol_vkt_million_km,adjusted_light_petrol_vkt_million_km,optimized_light_petrol_vkt,optimized_light_petrol_vkt_million_km,optimization_delta,optimization_delta_million_km,base_litres_per_100km,ped_volume_raw,ped_volume_raw_million_litres,ped_volume_optimized,ped_volume_optimized_million_litres,ped_volume_million_litres,ped_rate,ped_rate_nzd_per_litre,gross_ped_revenue_raw,gross_ped_revenue_raw_million_nzd,gross_ped_revenue_optimized,gross_ped_revenue_optimized_million_nzd,gross_ped_revenue_million_nzd,total_nltf_raw,total_nltf_raw_million_nzd,total_nltf_optimized,total_nltf_optimized_million_nzd,total_nltf_net_revenue_million_nzd,official_ped_vkt_per_capita,official_population_proxy,official_light_petrol_vkt_million_km,official_ped_volume_million_litres,official_gross_ped_revenue_million_nzd,official_total_nltf_net_revenue_million_nzd,raw_light_petrol_vkt_residual,ped_volume_raw_residual,ped_volume_optimized_residual,gross_ped_revenue_raw_residual,gross_ped_revenue_optimized_residual,vktpc_unit,population_unit,light_petrol_vkt_unit,litres_intensity_unit,ped_volume_unit,ped_rate_unit,gross_ped_revenue_unit,source_file,vktpc_source_cell,population_source_cell,migration_source_cells,formula,availability_status,notes
2026,FY2026,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,6144.321779043229,6144.321779043229,5361411.546338272,5.361411546338272,5.361411546338272,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,True,warning_current_finalist_uses_official_population_proxy,32942.237730580084,32942.237730580084,31580.861472373334,31580.861472373334,31580.861472373334,-1361.3762582067502,-1361.3762582067502,9.260956261061901,3050.766227644052,3050.766227644052,2924.689767823044,2924.689767823044,2924.689767823044,0.7002399999999998,0.7002399999999998,2136.26854324547,2136.26854324547,2047.9847630204076,2047.9847630204076,2047.9847630204076,4679.323879326619,4679.323879326619,4591.040099101557,4591.040099101557,4591.040099101557,5860.79487488994,5362853.093257651,31430.5819237521,2910.77244455591,2038.23929657583,4493.65132567772,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; AA11; AA5; AA7; AA9; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",warning_current_finalist_uses_official_population_proxy,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2027,FY2027,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5966.778677198156,5966.778677198156,5395033.188649469,5.395033188649469,5.395033188649469,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),scenario_input_population,False,,32190.96899281003,32190.96899281003,30463.73134006073,30463.73134006073,30463.73134006073,-1727.2376527492997,-1727.2376527492997,9.018936683998973,2903.2831114272785,2903.2831114272785,2747.5046411436288,2747.5046411436288,2747.5046411436288,0.7600846254894931,0.7600846254894931,2206.740856439173,2206.740856439173,2088.336036194299,2088.336036194299,2088.336036194299,5069.275386371361,5069.275386371361,4950.870566126487,4950.870566126487,4950.870566126487,5816.72597882556,5420752.742668591,31531.0333030703,2843.76392941454,2161.50124126958,4918.0416576803,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; AB11; AB5; AB7; AB9; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2028,FY2028,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5911.505385511109,5911.505385511109,5438574.545647807,5.438574545647808,5.438574545647808,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),scenario_input_population,False,,32150.162716100647,32150.162716100647,30060.770875327635,30060.770875327635,30060.770875327635,-2089.3918407730125,-2089.3918407730125,8.931806908230996,2871.5904544841837,2871.5904544841837,2684.970009710005,2684.970009710005,2684.970009710005,0.8501416070311163,0.8501416070311163,2441.2585237103976,2441.2585237103976,2282.6047188852153,2282.6047188852153,2282.6047188852153,5719.332198632252,5719.332198632252,5560.678393807069,5560.678393807069,5560.678393807069,5866.51585550544,5474448.333793277,32115.9379503436,2868.53356449197,2438.6597343399,5604.76928245717,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; AC11; AC5; AC7; AC9; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2029,FY2029,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5889.9724021517095,5889.9724021517095,5482087.280881718,5.482087280881718,5.482087280881718,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),scenario_input_population,False,,32289.342790580224,32289.342790580224,29777.065187974542,29777.065187974542,29777.065187974542,-2512.2776026056817,-2512.2776026056817,8.844668922019745,2855.885466922872,2855.885466922872,2633.682830570345,2633.682830570345,2633.682830570345,0.9001298714008468,0.9001298714008468,2570.667818076832,2570.667818076832,2370.6565875919027,2370.6565875919027,2370.6565875919027,6160.228518057933,6160.228518057933,5960.217287573004,5960.217287573004,5960.217287573004,5888.3409910512,5528824.876568723,32555.6061530432,2879.43557979336,2591.86597814642,6053.24769489626,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; AD11; AD5; AD7; AD9; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2030,FY2030,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5870.472750433319,5870.472750433319,5525943.3279658845,5.5259433279658845,5.5259433279658845,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),scenario_input_population,False,,32439.89972726253,32439.89972726253,29499.18093049953,29499.18093049953,29499.18093049953,-2940.7187967630016,-2940.7187967630016,8.75753233592107,2840.934708355387,2840.934708355387,2583.400308820358,2583.400308820358,2583.400308820358,0.9401072483165868,0.9401072483165868,2670.7833113190677,2670.7833113190677,2428.673355625327,2428.673355625327,2428.673355625327,6546.313737658504,6546.313737658504,6304.203781964763,6304.203781964763,6304.203781964763,5890.93754143919,5583313.43219622,32890.9507033464,2880.43564343742,2707.91842670497,6442.98776042894,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; AE11; AE5; AE7; AE9; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2026,FY2026,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,6143.789827574411,6143.789827574411,5367289.048545285,5.3672890485452855,5.3672890485452855,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,True,warning_current_finalist_uses_official_population_proxy,32975.49585810406,32975.49585810406,31611.595937986935,31611.595937986935,31611.595937986935,-1363.8999201171282,-1363.8999201171282,9.260956261061901,3053.846248287296,3053.846248287296,2927.5360732405907,2927.5360732405907,2927.5360732405907,0.7002399999999998,0.7002399999999998,2138.4252969006952,2138.4252969006952,2049.9778599259903,2049.9778599259903,2049.9778599259903,4682.660008758157,4682.660008758157,4594.212571783452,4594.212571783452,4594.212571783452,5860.79487488994,5362853.093257651,31430.5819237521,2910.77244455591,2038.23929657583,4493.65132567772,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; AA11; AA5; AA7; AA9; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",warning_current_finalist_uses_official_population_proxy,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2027,FY2027,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5962.372187463133,5962.372187463133,5432094.429483625,5.432094429483625,5.432094429483625,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),scenario_input_population,False,,32388.168746026582,32388.168746026582,30646.753624805548,30646.753624805548,30646.753624805548,-1741.4151212210345,-1741.4151212210345,9.018936683998973,2921.0684323108812,2921.0684323108812,2764.0113051223725,2764.0113051223725,2764.0113051223725,0.7600846254894931,0.7600846254894931,2220.2592054021966,2220.2592054021966,2100.8824977026634,2100.8824977026634,2100.8824977026634,5092.767775054597,5092.767775054597,4973.391067355064,4973.391067355064,4973.391067355064,5816.72597882556,5420752.742668591,31531.0333030703,2843.76392941454,2161.50124126958,4918.0416576803,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; AB11; AB5; AB7; AB9; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2028,FY2028,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5901.515350664844,5901.515350664844,5513657.011686059,5.513657011686059,5.513657011686059,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),scenario_input_population,False,,32538.931492766125,32538.931492766125,30417.74403329951,30417.74403329951,30417.74403329951,-2121.187459466615,-2121.187459466615,8.931806908230996,2906.314530935436,2906.314530935436,2716.8541628942676,2716.8541628942676,2716.8541628942676,0.8501416070311163,0.8501416070311163,2470.7789058673366,2470.7789058673366,2309.710764112111,2309.710764112111,2309.710764112111,5768.620604816919,5768.620604816919,5607.552463061694,5607.552463061694,5607.552463061694,5866.51585550544,5474448.333793277,32115.9379503436,2868.53356449197,2438.6597343399,5604.76928245717,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; AC11; AC5; AC7; AC9; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2029,FY2029,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5873.960913560629,5873.960913560629,5596368.811184944,5.596368811184943,5.596368811184943,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),scenario_input_population,False,,32872.85165477012,32872.85165477012,30304.55043669087,30304.55043669087,30304.55043669087,-2568.3012180792502,-2568.3012180792502,8.844668922019745,2907.4948940911063,2907.4948940911063,2680.3371544317965,2680.3371544317965,2680.3371544317965,0.9001298714008468,0.9001298714008468,2617.123005116846,2617.123005116846,2412.6515381296044,2412.6515381296044,2412.6515381296044,6237.7420180609915,6237.7420180609915,6033.27055107375,6033.27055107375,6033.27055107375,5888.3409910512,5528824.876568723,32555.6061530432,2879.43557979336,2591.86597814642,6053.24769489626,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; AD11; AD5; AD7; AD9; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
2030,FY2030,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5847.472417864368,5847.472417864368,5680312.261437219,5.680312261437218,5.680312261437218,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),scenario_input_population,False,,33215.469273610914,33215.469273610914,30188.433977696168,30188.433977696168,30188.433977696168,-3027.035295914746,-3027.035295914746,8.75753233592107,2908.8554621644034,2908.8554621644034,2643.761867304925,2643.761867304925,2643.761867304925,0.9401072483165868,0.9401072483165868,2734.636104286051,2734.636104286051,2485.419694276354,2485.419694276354,2485.419694276354,6655.899659025337,6655.899659025337,6406.68324901564,6406.68324901564,6406.68324901564,5890.93754143919,5583313.43219622,32890.9507033464,2880.43564343742,2707.91842670497,6442.98776042894,7.275957614183426e-12,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; AE11; AE5; AE7; AE9; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before BEFU26 litres intensity and PED rate.
