series_id,series_label,fan_source,scenario_name,FY,period,central,p10,p25,p75,p90,lower50,upper50,lower80,upper80,unit,method,source_file,model_id,horizon_scope,interpretation,fed_path,fan_segment
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,current_basecase,2026,FY2026,6144.321779043229,-0.03672654000327722,-0.03451811916315908,0.0029096585416977794,0.00774403547464304,5932.231347697421,6162.199657390563,5918.66209943219,6191.903624867761,km/person,empirical_current_finalist_annual_backtest_error,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,current_basecase,2027,FY2027,5966.778677198156,-0.03672654000327722,-0.03451811916315908,0.0029096585416977794,0.00774403547464304,5760.816699798434,5984.139965742687,5747.639541419337,6012.985622943722,km/person,empirical_current_finalist_annual_backtest_error,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,current_basecase,2028,FY2028,5911.505385511109,-0.03672654000327722,-0.03451811916315908,0.0029096585416977794,0.00774403547464304,5707.45133818038,5928.705847650354,5694.396246490546,5957.28429292505,km/person,empirical_current_finalist_annual_backtest_error,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,current_basecase,2029,FY2029,5889.9724021517095,-0.03672654000327722,-0.03451811916315908,0.0029096585416977794,0.00774403547464304,5686.661632906518,5907.110210661995,5673.654095105886,5935.58455737864,km/person,empirical_current_finalist_annual_backtest_error,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,current_basecase,2030,FY2030,5870.472750433319,-0.03672654000327722,-0.03451811916315908,0.0029096585416977794,0.00774403547464304,5667.835072489784,5887.553821615422,5654.87059812638,5915.933899665599,km/person,empirical_current_finalist_annual_backtest_error,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Scenario spread,current_basecase_vs_current_comparison_1,2026,FY2026,6144.321779043229,,,,,6143.789827574411,6144.321779043229,6143.789827574411,6144.321779043229,km/person,scenario_spread_not_probabilistic,forecast_scenario_comparison.parquet,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Scenario spread,current_basecase_vs_current_comparison_1,2027,FY2027,5966.778677198156,,,,,5962.372187463133,5966.778677198156,5962.372187463133,5966.778677198156,km/person,scenario_spread_not_probabilistic,forecast_scenario_comparison.parquet,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Scenario spread,current_basecase_vs_current_comparison_1,2028,FY2028,5911.505385511109,,,,,5901.515350664844,5911.505385511109,5901.515350664844,5911.505385511109,km/person,scenario_spread_not_probabilistic,forecast_scenario_comparison.parquet,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Scenario spread,current_basecase_vs_current_comparison_1,2029,FY2029,5889.9724021517095,,,,,5873.960913560629,5889.9724021517095,5873.960913560629,5889.9724021517095,km/person,scenario_spread_not_probabilistic,forecast_scenario_comparison.parquet,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.,Current planned path,empirical_supported
ped_vkt_per_capita,PED VKT per capita,Scenario spread,current_basecase_vs_current_comparison_1,2030,FY2030,5870.472750433319,,,,,5847.472417864368,5870.472750433319,5847.472417864368,5870.472750433319,km/person,scenario_spread_not_probabilistic,forecast_scenario_comparison.parquet,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.,Current planned path,empirical_supported
